date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,100000.0,106283.80862349666
2023-01-27,100000.0,106528.01848642403
2023-01-30,100000.0,105191.429021585
2023-01-31,100000.0,106738.09148679166
2023-02-01,100000.0,107872.48568877685
2023-02-02,100000.0,109442.78136652487
2023-02-03,100000.0,108279.50212698913
2023-02-06,100000.0,107617.77217583111
2023-02-07,100000.0,109025.26127829422
2023-02-08,100000.0,107833.09700120792
2023-02-09,100000.0,106898.27214957197
2023-02-10,100000.0,107147.73383750854
2023-02-13,100000.0,108405.5459272097
2023-02-14,100000.0,108355.6535896224
2023-02-15,100000.0,108707.52586523817
2023-02-16,100000.0,107210.75573761882
2023-02-17,100000.0,106942.9126621501
2023-02-21,100000.0,104797.5421458957
2023-02-22,100000.0,104653.11695814296
2023-02-23,100000.0,105209.81040911717
2023-02-24,100000.0,104085.91985715037
2023-02-27,100000.0,104440.41804527074
2023-02-28,100000.0,104054.40890709522
2023-03-01,100000.0,103655.27020639673
2023-03-02,100000.0,104461.42534530749
2023-03-03,100000.0,106136.75752323933
2023-03-06,100000.0,106210.283073368
2023-03-07,100000.0,104582.21732051889
2023-03-08,100000.0,104752.90163331758
2023-03-09,100000.0,102820.23002993541
2023-03-10,100000.0,101336.58946483904
2023-03-13,100000.0,101192.1642770863
2023-03-14,100000.0,102864.87054251353
2023-03-15,100000.0,102221.52197888767
2023-03-16,100000.0,104015.02021952628
2023-03-17,100000.0,102407.96176671394
2023-03-20,100000.0,103392.67895593718
2023-03-21,100000.0,104750.27572081299
2023-03-22,100000.0,102964.65521768815
2023-03-23,100000.0,103243.00194317526
2023-03-24,100000.0,103920.48736936085
2023-03-27,100000.0,104114.80489470091
2023-03-28,100000.0,103881.09868179192
2023-03-29,100000.0,105390.99837193426
2023-03-30,100682.45499999999,106008.08781051416
2023-03-31,101220.70499999999,107502.23202562891
2023-04-03,101181.33499999999,107911.87437634578
2023-04-04,100909.98499999999,107313.16632529804
2023-04-05,99839.64499999999,107032.19368730634
2023-04-06,100249.44499999999,107449.713775537
2023-04-10,100921.265,107560.00210073001
2023-04-11,100401.815,107588.88713828055
2023-04-12,99773.495,107150.35975001313
2023-04-13,100181.845,108573.60432750381
2023-04-14,100375.75,108308.38716453969
2023-04-17,100025.9,108697.0222152198
2023-04-18,100310.125,108767.92185284387
2023-04-19,100321.73499999999,108749.5404653117
2023-04-20,99697.28,108156.08423927314
2023-04-21,99430.385,108240.1134394202
2023-04-24,99246.19,108353.0276771178
2023-04-25,97830.995,106633.05498660785
2023-04-26,98362.87,106181.39803581744
2023-04-27,100641.4,108295.2576020167
