date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,99809.5,106283.80862349666
2023-01-27,99591.65,106528.01848642403
2023-01-30,99314.10999999999,105191.429021585
2023-01-31,100109.84,106738.09148679166
2023-02-01,100244.51000000001,107872.48568877685
2023-02-02,104805.6428,109442.78136652487
2023-02-03,103339.259,108279.50212698913
2023-02-06,102806.65280000001,107617.77217583111
2023-02-07,104521.5816,109025.26127829422
2023-02-08,103023.01680000001,107833.09700120792
2023-02-09,101849.5508,106898.27214957197
2023-02-10,100369.54320000001,107147.73383750854
2023-02-13,102172.4094,108405.5459272097
2023-02-14,103039.0752,108355.6535896224
2023-02-15,103047.52900000001,108707.52586523817
2023-02-16,101300.0194,107210.75573761882
2023-02-17,100406.3586,106942.9126621501
2023-02-21,98490.04840000001,104797.5421458957
2023-02-22,98236.553,104653.11695814296
2023-02-23,99572.77420000001,105209.81040911717
2023-02-24,98382.24900000001,104085.91985715037
2023-02-27,98868.95000000001,104440.41804527074
2023-02-28,99413.59660000002,104054.40890709522
2023-03-01,98785.9454,103655.27020639673
2023-03-02,99667.82220000001,104461.42534530749
2023-03-03,102347.1622,106136.75752323933
2023-03-06,101982.4442,106210.283073368
2023-03-07,101438.91820000001,104582.21732051889
2023-03-08,102193.9312,104752.90163331758
2023-03-09,100769.34220000001,102820.23002993541
2023-03-10,99989.4692,101336.58946483904
2023-03-13,100092.99220000001,101192.1642770863
2023-03-14,102791.89920000001,102864.87054251353
2023-03-15,103215.4422,102221.52197888767
2023-03-16,105465.47520000002,104015.02021952628
2023-03-17,104863.81120000001,102407.96176671394
2023-03-20,105015.54620000001,103392.67895593718
2023-03-21,105421.24720000001,104750.27572081299
2023-03-22,105505.0182,102964.65521768815
2023-03-23,106481.2152,103243.00194317526
2023-03-24,106211.5772,103920.48736936085
2023-03-27,105689.63520000002,104114.80489470091
2023-03-28,105230.82620000001,103881.09868179192
2023-03-29,106037.12220000001,105390.99837193426
2023-03-30,106610.26320000002,106008.08781051416
2023-03-31,107925.22320000001,107502.23202562891
2023-04-03,107386.6832,107911.87437634578
2023-04-04,106915.04920000001,107313.16632529804
2023-04-05,105562.5412,107032.19368730634
2023-04-06,105815.22320000001,107449.713775537
2023-04-10,105399.87120000002,107560.00210073001
2023-04-11,104679.43120000002,107588.88713828055
2023-04-12,104076.3952,107150.35975001313
2023-04-13,105999.46720000001,108573.60432750381
2023-04-14,105897.5522,108308.38716453969
2023-04-17,106067.38820000002,108697.0222152198
2023-04-18,106203.27320000001,108767.92185284387
2023-04-19,106413.23920000001,108749.5404653117
2023-04-20,104682.87620000001,108156.08423927314
